Product_Name,Division,Region,Ship_Mode,Units,Sales,Cost,Gross_Profit,Profit_Margin,Order_Month,Order_DayOfWeek,Factory,Factory_Latitude,Factory_Longitude,Destination_Latitude,Destination_Longitude,Shipping_Distance_KM,Predicted_Lead_Time,Current_Factory,Current_Predicted_Lead_Time,Lead_Time_Reduction_Days,Lead_Time_Reduction_Percent,Current_Distance_KM,Distance_Change_KM,Estimated_Logistics_Impact,Risk_Level,Risk_Penalty,Recommendation_Score,Scenario_Confidence_Score
Hair Toffee,Sugar,Pacific,Standard Class,5,22.5,5.0,17.5,0.7777777777777778,6,4,Lot's O' Nuts,32.881893,-111.768036,36.7783,-119.4179,697.5079848151925,1353.61625,The Other Factory,1322.814583333333,-30.80166666666696,-2.328494639743877,2640.0949584038894,-1942.586973588697,-194.25869735886968,High,15,61.306382159701556,20.462379900405068
Kazookles,Other,Pacific,Standard Class,4,13.0,12.0,1.0,0.07692307692307693,4,1,Lot's O' Nuts,32.881893,-111.768036,36.7783,-119.4179,697.5079848151925,1325.2543333333335,The Other Factory,1343.651,18.396666666666533,1.3691551352744524,2640.0949584038894,-1942.586973588697,-155.40695788709576,Medium,5,57.98427623600298,20.462379900405068
Fizzy Lifting Drinks,Sugar,Atlantic,First Class,4,15.0,6.0,9.0,0.6,9,3,Wicked Choccy's,32.076176,-81.088371,40.7128,-74.006,631.217416864733,1389.32,Sugar Shack,1415.43,26.110000000000127,1.8446691111535098,1748.6410238057952,-1117.4236069410622,-89.39388855528497,Medium,5,31.864356888806093,20.462379900405068
Wonka Bar - Nutty Crunch Surprise,Chocolate,Interior,Standard Class,3,10.47,3.0,7.47,0.7134670487106016,4,0,The Other Factory,35.1175,-89.971107,41.8781,-87.6298,203.59025676163486,982.5319999999999,Lot's O' Nuts,930.9255,-51.60649999999987,-5.543569275951713,2116.5350076365844,-1912.9447508749495,-114.77668505249699,High,15,27.58453245542777,20.462379900405068
Wonka Bar -Scrumdiddlyumptious,Chocolate,Interior,Standard Class,3,10.8,3.3,7.5,0.6944444444444444,4,0,The Other Factory,35.1175,-89.971107,41.8781,-87.6298,203.59025676163486,984.03,Lot's O' Nuts,915.0,-69.02999999999997,-7.544262295081965,2116.5350076365844,-1912.9447508749495,-114.77668505249699,High,15,26.384116643949618,20.462379900405068
Nerds,Sugar,Atlantic,Standard Class,2,3.0,1.6,1.4,0.4666666666666666,4,3,Wicked Choccy's,32.076176,-81.088371,40.7128,-74.006,631.217416864733,1243.2716666666665,Sugar Shack,1342.2116666666666,98.94000000000005,7.371415586463639,1748.6410238057952,-1117.4236069410622,-44.69694427764249,Medium,5,17.30162706293518,20.462379900405068
SweeTARTS,Sugar,Interior,Standard Class,3,4.5,2.4,2.1,0.4666666666666667,1,4,The Other Factory,35.1175,-89.971107,41.8781,-87.6298,203.59025676163486,1437.884,Sugar Shack,1550.5739999999998,112.68999999999983,7.267631212699286,670.1815889594578,-466.59133219782296,-27.995479931869376,Medium,5,10.558770700367322,20.462379900405068
Everlasting Gobstopper,Sugar,Gulf,Standard Class,4,40.0,8.0,32.0,0.8,5,0,Sugar Shack,48.11914,-96.18115,29.7604,-95.3698,77.3720355259455,1457.112,Secret Factory,1457.112,0.0,0.0,431.48717683780035,-354.1151413118548,-28.329211304948387,Medium,5,6.331684521979355,20.462379900405068
Wonka Bar - Fudge Mallows,Chocolate,Gulf,Standard Class,2,7.2,2.4,4.8,0.6666666666666666,6,5,Sugar Shack,48.11914,-96.18115,29.7604,-95.3698,77.3720355259455,1063.0183333333334,Lot's O' Nuts,993.2093333333333,-69.80900000000008,-7.028629077186825,1555.4429768952448,-1478.0709413692994,-59.12283765477198,High,15,4.431957615596698,20.462379900405068
Wonka Bar - Milk Chocolate,Chocolate,Interior,Standard Class,2,6.5,2.28,4.22,0.6492307692307692,3,4,Secret Factory,41.446333,-90.565487,41.8781,-87.6298,243.85741263592817,1076.3239999999998,Wicked Choccy's,1081.599,5.275000000000091,0.4877038532765,577.9464011735868,-334.08898853765857,-13.363559541506342,Medium,5,0.6380461285684369,20.462379900405068
