Region,Ship_Mode,Division,Avg_Lead_Time,Avg_Distance,Avg_Profit_Margin,Orders,Route_Cluster
Atlantic,First Class,Chocolate,1370.6040609137056,2273.6353124669736,0.674798612051241,197,0
Atlantic,First Class,Other,1425.5,1387.565386010794,0.4361538461538461,6,2
Atlantic,First Class,Sugar,1395.0,1748.6410238057952,0.6115577889447237,2,0
Atlantic,Same Day,Chocolate,1322.6333333333334,2024.307151370689,0.6703581008824562,60,0
Atlantic,Same Day,Other,1269.0,1391.0024388922282,0.28846153846153844,2,1
Atlantic,Second Class,Chocolate,1407.0717703349283,2205.1357463266254,0.6753698991234807,209,0
Atlantic,Second Class,Other,1365.875,1392.291333722766,0.24057692307692308,8,2
Atlantic,Second Class,Sugar,1729.0,1748.6410238057952,0.4666666666666667,1,3
Atlantic,Standard Class,Chocolate,1363.8197424892703,2208.882379935302,0.6743179050914211,699,0
Atlantic,Standard Class,Other,1460.72,1388.3215376447095,0.4072615384615385,25,2
Atlantic,Standard Class,Sugar,1439.75,1748.6410238057952,0.5057788944723618,4,2
Gulf,First Class,Chocolate,1362.5047619047618,1470.2843219241652,0.6752985668687674,105,0
Gulf,First Class,Other,1228.0,468.6999740528595,0.29846153846153844,2,1
Gulf,Same Day,Chocolate,1295.3170731707316,1489.0679913133324,0.6752742969131256,41,0
Gulf,Same Day,Other,1313.5,468.6999740528595,0.29846153846153844,2,1
Gulf,Same Day,Sugar,1576.0,505.91277126791863,0.7777777777777778,1,3
Gulf,Second Class,Chocolate,1374.6106194690265,1488.3547329347657,0.6774108266153807,113,0
Gulf,Second Class,Other,1573.7142857142858,442.1194046135315,0.45098901098901095,7,3
Gulf,Standard Class,Chocolate,1335.504109589041,1468.6359262799958,0.673552246386803,365,0
Gulf,Standard Class,Other,1128.142857142857,452.75163238926274,0.3934065934065934,7,1
Gulf,Standard Class,Sugar,1273.0,431.48717683780035,0.8,1,0
Interior,First Class,Chocolate,1388.7008547008547,1393.266859299278,0.6719901303223617,117,0
Interior,First Class,Other,1463.0,233.79062366735485,0.40673076923076923,8,3
Interior,Same Day,Chocolate,1449.0,1543.335330718997,0.6753572057971181,51,0
Interior,Same Day,Other,1269.0,243.85741263592817,0.52,1,1
Interior,Second Class,Chocolate,1328.0528846153845,1576.5495832529361,0.6792394902595752,208,0
Interior,Second Class,Other,1350.0,233.79062366735485,0.4042307692307692,4,1
Interior,Second Class,Sugar,1094.0,670.1815889594578,0.4,1,1
Interior,Standard Class,Chocolate,1340.8852173913044,1511.8027901398236,0.675845062231209,575,0
Interior,Standard Class,Other,1243.0,237.14621999021264,0.4378205128205128,12,1
Interior,Standard Class,Sugar,1597.0,670.1815889594578,0.4666666666666667,1,3
Pacific,First Class,Chocolate,1408.8549222797928,1854.8265242254224,0.6776783141340649,193,0
Pacific,First Class,Other,1381.375,2475.251216633934,0.5125,8,2
Pacific,First Class,Sugar,1388.0,2475.251216633934,0.8,1,0
Pacific,Same Day,Chocolate,1494.0833333333333,1794.3772969437275,0.6778221367404749,84,0
Pacific,Same Day,Other,1448.8,2541.188713341916,0.34276923076923077,5,2
Pacific,Second Class,Chocolate,1364.937238493724,1702.1718507739267,0.676167129158701,239,0
Pacific,Second Class,Other,1612.4444444444443,2511.8831592494794,0.41264957264957264,9,2
Pacific,Standard Class,Chocolate,1366.5209742895804,1880.0596703231863,0.6743494133187865,739,0
Pacific,Standard Class,Other,1355.1875,2506.1594182158005,0.4294230769230769,16,2
Pacific,Standard Class,Sugar,1275.0,2640.0949584038894,0.7777777777777778,1,0
